prompt_id,category,length,scheme,key_id,value,eligible_positions
null-0000,classification,128,kgw,kgw-00,2.220510451825586,125
null-0000,classification,128,kgw,kgw-01,0.5680375574437545,125
null-0000,classification,128,kgw,kgw-02,3.0467468990165014,125
null-0000,classification,128,kgw,kgw-03,0.15491933384829668,125
null-0000,classification,128,kgw,kgw-04,0.15491933384829668,125
null-0000,classification,128,kgw,kgw-05,2.6336286754210434,125
null-0000,classification,128,kgw,kgw-06,1.8073922282301278,125
null-0000,classification,128,kgw,kgw-07,0.3614784456460256,125
null-0000,classification,128,kgw,kgw-08,5.732015352386977,125
null-0000,classification,128,kgw,kgw-09,-2.943467343117637,125
null-0000,classification,128,synthid,synthid-00,0.5161290322580645,124
null-0000,classification,128,synthid,synthid-01,0.5134408602150538,124
null-0000,classification,128,synthid,synthid-02,0.5080645161290323,124
null-0000,classification,128,synthid,synthid-03,0.5044802867383512,124
null-0000,classification,128,synthid,synthid-04,0.5062724014336918,124
null-0000,classification,128,synthid,synthid-05,0.5,124
null-0000,classification,128,synthid,synthid-06,0.5089605734767025,124
null-0000,classification,128,synthid,synthid-07,0.503584229390681,124
null-0000,classification,128,synthid,synthid-08,0.49014336917562723,124
null-0000,classification,128,synthid,synthid-09,0.5161290322580645,124
null-0000,classification,256,kgw,kgw-00,1.745743121887939,252
null-0000,classification,256,kgw,kgw-01,1.8912217153786006,252
null-0000,classification,256,kgw,kgw-02,4.2188792112291855,252
null-0000,classification,256,kgw,kgw-03,0.0,252
null-0000,classification,256,kgw,kgw-04,0.0,252
null-0000,classification,256,kgw,kgw-05,2.909571869813232,252
null-0000,classification,256,kgw,kgw-06,1.8912217153786006,252
null-0000,classification,256,kgw,kgw-07,1.3093073414159542,252
null-0000,classification,256,kgw,kgw-08,6.692015300570433,252
null-0000,classification,256,kgw,kgw-09,-4.2188792112291855,252
null-0000,classification,256,synthid,synthid-00,0.50199203187251,251
null-0000,classification,256,synthid,synthid-01,0.5099601593625498,251
null-0000,classification,256,synthid,synthid-02,0.5042054006197433,251
null-0000,classification,256,synthid,synthid-03,0.5033200531208499,251
null-0000,classification,256,synthid,synthid-04,0.48826914563966356,251
null-0000,classification,256,synthid,synthid-05,0.5064187693669765,251
null-0000,classification,256,synthid,synthid-06,0.5037627268702966,251
null-0000,classification,256,synthid,synthid-07,0.4997786631252767,251
null-0000,classification,256,synthid,synthid-08,0.48339973439575035,251
null-0000,classification,256,synthid,synthid-09,0.5108455068614431,251
null-0000,classification,512,kgw,kgw-00,1.8549281101538309,422
null-0000,classification,512,kgw,kgw-01,0.9555690264428826,422
null-0000,classification,512,kgw,kgw-02,7.588342268811126,422
null-0000,classification,512,kgw,kgw-03,-1.8549281101538309,422
null-0000,classification,512,kgw,kgw-04,-1.1804087973706197,422
null-0000,classification,512,kgw,kgw-05,4.777845132214413,422
null-0000,classification,512,kgw,kgw-06,2.754287193864779,422
null-0000,classification,512,kgw,kgw-07,4.21574570489507,422
null-0000,classification,512,kgw,kgw-08,9.724320092624628,422
null-0000,classification,512,kgw,kgw-09,-5.564784330461492,422
null-0000,classification,512,synthid,synthid-00,0.5089520800421274,422
null-0000,classification,512,synthid,synthid-01,0.5039494470774092,422
null-0000,classification,512,synthid,synthid-02,0.5023696682464455,422
null-0000,classification,512,synthid,synthid-03,0.5057925223802001,422
null-0000,classification,512,synthid,synthid-04,0.49578725645076355,422
null-0000,classification,512,synthid,synthid-05,0.49315429173249076,422
null-0000,classification,512,synthid,synthid-06,0.5081621906266456,422
