prompt_id,category,length,scheme,key_id,value,eligible_positions
replication-0000,classification,128,kgw,kgw-00,2.2569146886503555,121
replication-0000,classification,128,kgw,kgw-01,0.1574591643244434,121
replication-0000,classification,128,kgw,kgw-02,-0.262431940540739,121
replication-0000,classification,128,kgw,kgw-03,0.787295821622217,121
replication-0000,classification,128,kgw,kgw-04,-1.5221052551362861,121
replication-0000,classification,128,kgw,kgw-05,1.4171324789199906,121
replication-0000,classification,128,kgw,kgw-06,0.1574591643244434,121
replication-0000,classification,128,kgw,kgw-07,-0.262431940540739,121
replication-0000,classification,128,kgw,kgw-08,-1.7320508075688774,121
replication-0000,classification,128,kgw,kgw-09,1.4171324789199906,121
replication-0000,classification,128,synthid,synthid-00,0.4962962962962963,120
replication-0000,classification,128,synthid,synthid-01,0.5064814814814815,120
replication-0000,classification,128,synthid,synthid-02,0.5157407407407407,120
replication-0000,classification,128,synthid,synthid-03,0.5,120
replication-0000,classification,128,synthid,synthid-04,0.5333333333333333,120
replication-0000,classification,128,synthid,synthid-05,0.475,120
replication-0000,classification,128,synthid,synthid-06,0.48703703703703705,120
replication-0000,classification,128,synthid,synthid-07,0.5046296296296297,120
replication-0000,classification,128,synthid,synthid-08,0.5222222222222223,120
replication-0000,classification,128,synthid,synthid-09,0.525,120
replication-0000,classification,256,kgw,kgw-00,2.7037037037037037,243
replication-0000,classification,256,kgw,kgw-01,0.037037037037037035,243
replication-0000,classification,256,kgw,kgw-02,-0.25925925925925924,243
replication-0000,classification,256,kgw,kgw-03,-0.25925925925925924,243
replication-0000,classification,256,kgw,kgw-04,-0.5555555555555556,243
replication-0000,classification,256,kgw,kgw-05,0.3333333333333333,243
replication-0000,classification,256,kgw,kgw-06,-0.1111111111111111,243
replication-0000,classification,256,kgw,kgw-07,0.6296296296296297,243
replication-0000,classification,256,kgw,kgw-08,-0.7037037037037037,243
replication-0000,classification,256,kgw,kgw-09,0.3333333333333333,243
replication-0000,classification,256,synthid,synthid-00,0.4898989898989899,242
replication-0000,classification,256,synthid,synthid-01,0.5050505050505051,242
replication-0000,classification,256,synthid,synthid-02,0.5146923783287419,242
replication-0000,classification,256,synthid,synthid-03,0.48622589531680444,242
replication-0000,classification,256,synthid,synthid-04,0.5252525252525253,242
replication-0000,classification,256,synthid,synthid-05,0.4967860422405877,242
replication-0000,classification,256,synthid,synthid-06,0.5087235996326905,242
replication-0000,classification,256,synthid,synthid-07,0.49770431588613406,242
replication-0000,classification,256,synthid,synthid-08,0.5,242
replication-0000,classification,256,synthid,synthid-09,0.5183654729109275,242
replication-0000,classification,512,kgw,kgw-00,2.405589810011704,477
replication-0000,classification,512,kgw,kgw-01,-0.23791547571544322,477
replication-0000,classification,512,kgw,kgw-02,1.453927907149931,477
replication-0000,classification,512,kgw,kgw-03,-0.449395898573615,477
replication-0000,classification,512,kgw,kgw-04,0.8194866385754156,477
replication-0000,classification,512,kgw,kgw-05,0.9252268500045014,477
replication-0000,classification,512,kgw,kgw-06,-0.449395898573615,477
replication-0000,classification,512,kgw,kgw-07,1.0309670614335873,477
replication-0000,classification,512,kgw,kgw-08,0.2907855814299862,477
replication-0000,classification,512,kgw,kgw-09,-0.5551361100027009,477
replication-0000,classification,512,synthid,synthid-00,0.5011671335200747,476
replication-0000,classification,512,synthid,synthid-01,0.5130718954248366,476
replication-0000,classification,512,synthid,synthid-02,0.5207749766573296,476
replication-0000,classification,512,synthid,synthid-03,0.49042950513538747,476
replication-0000,classification,512,synthid,synthid-04,0.5170401493930906,476
replication-0000,classification,512,synthid,synthid-05,0.4969654528478058,476
replication-0000,classification,512,synthid,synthid-06,0.5072362278244631,476
replication-0000,classification,512,synthid,synthid-07,0.4995331465919701,476
replication-0000,classification,512,synthid,synthid-08,0.49533146591970123,476
replication-0000,classification,512,synthid,synthid-09,0.5130718954248366,476
replication-0001,closed_qa,128,kgw,kgw-00,1.0141449740988853,117
replication-0001,closed_qa,128,kgw,kgw-01,-0.4803844614152614,117
replication-0001,closed_qa,128,kgw,kgw-02,0.5871365639519862,117
replication-0001,closed_qa,128,kgw,kgw-03,0.16012815380508716,117
replication-0001,closed_qa,128,kgw,kgw-04,3.1491870248333806,117
